因子名称,数据类型,月均 Rank IC,年化ICIR,月胜率,年化收益,最大回撤,回测标的,  回测时段,研报出处,时间
高频偏度,分钟 K 线,3.41%,3.48,83%,,,,,,
下行波动占比,分钟 K 线,3.03%,3.02,78%,,,,,,
尾盘成交占比,分钟 K 线,0.0486,3.59,,,,,,,
量价相关性,分钟 K 线,>3%,>3,,,,,,,
改进反转,分钟 K 线,>3%,>3,,,,,,,
平均单笔流出金额占比,分钟 K 线,>3%,>3,,,,,,,
大单推动涨幅,分钟 K 线,>3%,>3,,,,,,,
开盘后净委买增额占比,委托队列,0.0419,4.24,,,,,,,
开盘后净主买占比,逐笔成交,0.0331,2.51,,,,,,,
开盘后净主买强度,逐笔成交,0.0446,3.29,,,,,,,
大买成交占比,逐笔成交,0.0435,1.96,,,,,,,
开盘后买入意愿占比,TICK 委托与逐笔成交,0.0434,3.43,,,,,,,
开盘后买入意愿强度,TICK 委托与逐笔成交,0.0507,3.93,,,,,,,
开盘后知情主卖占比,逐笔成交,0.0286,2.51,,,,,,,
APM,分钟 K 线,,2.07,0.7,0.1099,0.0572,,,凤鸣朝阳：股价日内模式中蕴藏的选股因子,
开盘集合竞价成交量占比因子（OCVP）,分钟 K 线,,3.17,0.8125,0.1281,0.0232,,,,
改进的流动性因子（????????????）,分钟 K 线,,4.44,0.889,,,,,东吴证券 因子方法论――基于日内模式的因子改进,
